symbol,sector,total_assets,total_liabilities,total_equity,net_revenue,nonhalal_revenue_percent,net_income,operating_cash_flow,interest_expense,debt_to_equity,debt_to_assets,roe,roa,profit_margin,interest_coverage,cash_flow_to_debt,f_riba,f_nonhalal,riba_intensity,sector_encoded
BTEK,Other,4148640622828.25,2765211005217.0,1383429617611.25,377535486488.5,0.0,-215884229692.0,0.0,90417145725.5,1.9988085913554852,0.6665342353351095,-0.15605002736949097,-0.0520373417027444,-0.5718250003462283,-2.3876470326480894,0.0,0.6665342353351095,0.0,0.23949310451973677,13
BTEL,Other,19099666666.666668,7651188333333.333,-7632088666666.667,36832333333.333336,0.0,-102102333333.33331,0.0,89799000000.0,-1.0025025477953478,400.5927677620898,0.0133780329071998,-5.3457651966002855,-2.772084309981265,-1.137009692015872,0.0,400.5927677620898,0.0,2.4380480918033967,13
BUDI,Other,3114430500000.0,1677876250000.0,1436554250000.0,3356981750000.0,0.0,83885500000.0,0.0,117211250000.0,1.167986694550519,0.5387425566247184,0.05839354831187197,0.026934458803945054,0.024988369388662897,0.7156778892811057,0.0,0.5387425566247184,0.0,0.03491566494217611,13
BUKA,Other,20685097336250.0,1451425838750.0,19233671497500.0,2819355482000.0,0.0,-600931739500.0,0.0,8368655750.0,0.0754627549367606,0.07016770649690976,-0.03124373521603035,-0.029051433973524773,-0.21314507636110855,-71.80743926526065,0.0,0.07016770649690976,0.0,0.002968286831309199,13
BUKK,Other,6210436178000.0,2579943636000.0,3630492542000.0,4279008340000.0,0.0,510278801000.0,0.0,68203503750.0,0.7106318512305044,0.4154206825503263,0.14055360122538438,0.0821647282694288,0.11925164908652644,7.481709486222692,0.0,0.4154206825503263,0.0,0.015939091100252448,13
BULL,Other,545483071.75,363562132.25,181920939.5,158880935.25,0.0,-51989739.25,0.0,36733658.0,1.9984622619540726,0.6664957192596753,-0.28578205121899747,-0.09530953744028638,-0.3272245292878632,-1.4153161454812326,0.0,0.6664957192596753,0.0,0.23120242804586388,13
BUMI,Other,4085769699.5,2492677434.75,1593092264.75,1327169516.0,0.0,98401720.0,0.0,154992725.0,1.5646786378321622,0.6100876011330344,0.061767747027157476,0.024084010415966854,0.07414404777512933,0.6348796048330245,0.0,0.6100876011330344,0.0,0.11678442213405904,13
BUVA,Other,1923027495922.25,1599215531805.75,323811964116.5,181619991256.0,0.0,-347604945904.0,0.0,129464264758.0,4.938716628859302,0.8316134507680528,-1.073477772362172,-0.18075921776526382,-1.9139134601875305,-2.6849489822829304,0.0,0.8316134507680528,0.0,0.7128304756689223,13
BWPT,Other,12378273500000.0,9931605500000.0,2446668000000.0,3478935000000.0,0.0,-572516250000.0,0.0,692149500000.0,4.059237093058805,0.802341740146556,-0.2339983397829211,-0.04625170465008711,-0.16456652682501974,-0.827156922023349,0.0,0.802341740146556,0.0,0.19895442139620315,13
BYAN,Other,2860803973.5,1186161749.25,1674642224.25,3133082659.25,0.0,1239640095.5,0.0,12943386.75,0.7083075609067624,0.4146253152042456,0.7402417528646598,0.4333187827558069,0.3956614715670292,95.77401335852397,0.0,0.4146253152042456,0.0,0.004131198617370139,13
CAMP,Other,1099153224681.25,128589621766.0,970563602915.25,1060229793269.25,0.0,98002109261.25,0.0,0.0,0.13248963940102387,0.11698971433513328,0.10097443275936197,0.08916146271569209,0.09243478148171784,9800210926125000.0,0.0,0.11698971433513328,0.0,0.0,13
CARE,Other,4007127614134.0,783717340730.0,3223410273404.0,252584360514.5,0.0,-46012912341.25,0.0,50461523845.25,0.24313297850924057,0.1955808290121983,-0.01427460622090133,-0.011482766902394767,-0.18216849312255246,-0.9118415147817863,0.0,0.1955808290121983,0.0,0.19978087219043467,13
